"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD with steps","This will create new product","SUCCESS","2023-01-01T22:45:19.475Z[Europe/London]","0.0","19.73"
"Product CRUD with steps","Verify if the product was added to application","SUCCESS","2023-01-01T22:45:39.313Z[Europe/London]","0.0","0.31"
"Product CRUD with steps","This will update product","SUCCESS","2023-01-01T22:45:39.626Z[Europe/London]","0.0","0.47"
"Product CRUD with steps","This will delete product","SUCCESS","2023-01-01T22:45:40.099Z[Europe/London]","0.0","0.21"
"Store CRUD with steps","This will create new store","SUCCESS","2023-01-01T22:45:46.939Z[Europe/London]","0.0","0.27"
"Store CRUD with steps","Verify if the store is added to application","SUCCESS","2023-01-01T22:45:47.218Z[Europe/London]","0.0","0.12"
"Store CRUD with steps","This will update store","SUCCESS","2023-01-01T22:45:47.344Z[Europe/London]","0.0","0.21"
"Store CRUD with steps","This will delete store","SUCCESS","2023-01-01T22:45:47.560Z[Europe/London]","0.0","0.3"
