"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD with steps","This will create new store","SUCCESS","2023-01-01T22:45:46.939Z[Europe/London]","0.0","0.27"
"Store CRUD with steps","Verify if the store is added to application","SUCCESS","2023-01-01T22:45:47.218Z[Europe/London]","0.0","0.12"
"Store CRUD with steps","This will update store","SUCCESS","2023-01-01T22:45:47.344Z[Europe/London]","0.0","0.21"
"Store CRUD with steps","This will delete store","SUCCESS","2023-01-01T22:45:47.560Z[Europe/London]","0.0","0.3"
